station_id,fecha,lat,lon,PM2.5,PM10,O3,NO2,CO
EST_001,05/01/2023 02:00,16.8732,-88.2975,25.89,56.32,55.51,,0.562
EST_001,05/01/2023 03:00,16.8732,-88.2975,14.65,4.98,58.1,20.07,0.726
EST_001,05/01/2023 04:00,16.8732,-88.2975,27.53,52.72,41.65,26.08,0.714
EST_001,05/01/2023 05:00,16.8732,-88.2975,28.96,64.62,52.08,20.48,0.885
EST_001,05/01/2023 06:00,16.8732,-88.2975,27.39,40.29,54.18,31.16,0.794
EST_001,05/01/2023 07:00,16.8732,-88.2975,25.73,43.27,55.66,34.61,
EST_001,05/01/2023 08:00,16.8732,-88.2975,35.73,58.3,43.56,32.63,0.901
EST_001,05/01/2023 09:00,16.8732,-88.2975,,55.48,47.86,,0.935
EST_001,05/01/2023 10:00,16.8732,-88.2975,40.2,69.76,42.71,28.54,0.939
EST_001,05/01/2023 11:00,16.8732,-88.2975,40.15,83.69,52.89,45.16,1.323
EST_001,05/01/2023 12:00,16.8732,-88.2975,48.4,101.81,48.09,33.27,1.182
EST_001,05/01/2023 13:00,16.8732,-88.2975,,67.25,33.37,25.81,1.056
EST_001,05/01/2023 14:00,16.8732,-88.2975,33.94,76.33,26.08,41.1,1.185
EST_001,05/01/2023 15:00,16.8732,-88.2975,38.37,69.34,27.26,33.72,1.081
EST_001,05/01/2023 16:00,16.8732,-88.2975,36.5,79.73,14.51,37.52,1.147
EST_001,05/01/2023 17:00,16.8732,-88.2975,39.79,70.87,9.21,31.46,0.723
EST_001,05/01/2023 18:00,16.8732,-88.2975,34.58,63.3,10.6,30.29,0.773
EST_001,05/01/2023 19:00,16.8732,-88.2975,29.61,56.22,14.33,27.74,0.676
EST_001,05/01/2023 20:00,16.8732,-88.2975,32.73,84.35,11.04,,0.453
EST_001,05/01/2023 21:00,16.8732,-88.2975,17.4,38.14,27.48,33.73,0.694
EST_001,05/01/2023 22:00,16.8732,-88.2975,18.56,27.76,37.3,25.93,0.513
EST_001,05/01/2023 23:00,16.8732,-88.2975,16.13,36.79,18.95,12.37,0.584
EST_001,06/01/2023 00:00,16.8732,-88.2975,18.48,30.37,40.25,22.23,0.736
EST_001,06/01/2023 01:00,16.8732,-88.2975,13.89,21.09,42.98,25.98,0.475
EST_001,06/01/2023 02:00,16.8732,-88.2975,24.95,52.18,53.42,27.09,0.498
EST_001,06/01/2023 03:00,16.8732,-88.2975,22.26,40.31,54.01,20.21,0.6
EST_001,06/01/2023 04:00,16.8732,-88.2975,18.09,34.79,42.78,29.82,0.749
EST_001,06/01/2023 05:00,16.8732,-88.2975,22.78,,46.69,30.57,0.666
EST_001,06/01/2023 06:00,16.8732,-88.2975,32.02,,60.29,40.86,0.737
EST_001,06/01/2023 07:00,16.8732,-88.2975,37.23,70.42,69.61,26.32,0.983
EST_001,06/01/2023 08:00,16.8732,-88.2975,,66.3,35.18,29.46,0.988
EST_001,06/01/2023 09:00,16.8732,-88.2975,52.1,99.12,57.6,32.13,0.808
EST_001,06/01/2023 10:00,16.8732,-88.2975,41.2,66.3,,32.48,0.937
EST_001,06/01/2023 11:00,16.8732,-88.2975,35.18,51.79,43.65,,1.24
EST_001,06/01/2023 12:00,16.8732,-88.2975,29.81,53.2,45.5,22.19,1.14
EST_001,06/01/2023 13:00,16.8732,-88.2975,41.47,75.33,27.79,33.55,1.014
EST_001,06/01/2023 14:00,16.8732,-88.2975,35.08,57.59,28.81,36.77,1.043
EST_001,06/01/2023 15:00,16.8732,-88.2975,35.48,70.51,9.65,31.19,1.013
EST_001,06/01/2023 16:00,16.8732,-88.2975,32.43,47.63,0.0,41.68,1.024
EST_001,06/01/2023 17:00,16.8732,-88.2975,32.37,,30.11,30.14,0.742
EST_001,06/01/2023 18:00,16.8732,-88.2975,35.82,59.8,10.15,34.46,0.716
EST_001,06/01/2023 19:00,16.8732,-88.2975,28.69,51.28,16.13,27.24,0.75
EST_001,06/01/2023 20:00,16.8732,-88.2975,24.71,46.71,8.82,28.13,0.64
EST_001,06/01/2023 21:00,16.8732,-88.2975,18.26,24.8,11.76,23.74,0.645
EST_001,06/01/2023 22:00,16.8732,-88.2975,,30.05,28.26,27.92,0.417
EST_001,06/01/2023 23:00,16.8732,-88.2975,18.42,,27.53,20.55,0.546
EST_001,07/01/2023 00:00,16.8732,-88.2975,20.25,21.31,43.78,22.48,0.609
EST_001,07/01/2023 01:00,16.8732,-88.2975,29.7,37.79,49.7,22.1,0.559
EST_001,07/01/2023 02:00,16.8732,-88.2975,22.51,40.43,53.21,19.63,0.554
EST_001,07/01/2023 03:00,16.8732,-88.2975,28.37,49.3,56.53,24.37,0.578
EST_001,07/01/2023 04:00,16.8732,-88.2975,23.03,40.63,73.1,35.17,0.567
EST_001,07/01/2023 05:00,16.8732,-88.2975,22.02,39.41,48.64,24.58,0.715
EST_001,07/01/2023 06:00,16.8732,-88.2975,25.71,48.08,59.45,30.1,0.926
EST_001,07/01/2023 07:00,16.8732,-88.2975,29.5,60.69,70.65,36.36,
EST_001,07/01/2023 08:00,16.8732,-88.2975,46.19,,69.97,37.7,0.861
EST_001,07/01/2023 09:00,16.8732,-88.2975,33.51,50.95,39.92,33.72,0.963
EST_001,07/01/2023 10:00,16.8732,-88.2975,43.4,69.38,46.88,23.01,1.08
EST_001,07/01/2023 11:00,16.8732,-88.2975,35.7,66.57,58.76,38.31,1.052
EST_001,07/01/2023 12:00,16.8732,-88.2975,45.22,91.35,45.08,24.9,1.149
EST_001,07/01/2023 13:00,16.8732,-88.2975,42.15,72.41,36.78,,1.142
EST_001,07/01/2023 14:00,16.8732,-88.2975,38.44,49.18,27.82,35.78,1.149
EST_001,07/01/2023 15:00,16.8732,-88.2975,37.44,53.75,22.02,38.66,1.154
EST_001,07/01/2023 16:00,16.8732,-88.2975,32.3,51.47,25.56,27.49,1.05
EST_001,07/01/2023 17:00,16.8732,-88.2975,35.39,59.25,18.16,22.31,
EST_001,07/01/2023 18:00,16.8732,-88.2975,28.3,47.68,19.57,29.3,0.71
EST_001,07/01/2023 19:00,16.8732,-88.2975,21.87,39.67,21.47,25.76,0.715
EST_001,07/01/2023 20:00,16.8732,-88.2975,19.2,32.06,15.9,21.54,0.605
EST_001,07/01/2023 21:00,16.8732,-88.2975,24.38,52.28,31.18,22.77,0.474
EST_001,07/01/2023 22:00,16.8732,-88.2975,,48.28,59.14,34.91,0.496
EST_001,07/01/2023 23:00,16.8732,-88.2975,21.74,32.23,17.05,24.45,0.463
EST_001,08/01/2023 00:00,16.8732,-88.2975,20.01,39.85,43.24,25.25,
EST_001,08/01/2023 01:00,16.8732,-88.2975,22.37,27.99,,24.49,0.479
EST_001,08/01/2023 02:00,16.8732,-88.2975,28.48,54.38,55.77,28.47,0.658
EST_001,08/01/2023 03:00,16.8732,-88.2975,24.64,45.17,54.61,21.39,0.608
EST_001,08/01/2023 04:00,16.8732,-88.2975,23.56,41.23,64.94,13.73,0.897
EST_001,08/01/2023 05:00,16.8732,-88.2975,33.56,73.12,71.07,24.99,0.739
EST_001,08/01/2023 06:00,16.8732,-88.2975,32.77,54.0,61.92,32.06,0.771
EST_001,08/01/2023 07:00,16.8732,-88.2975,40.89,90.09,70.64,25.22,
EST_001,08/01/2023 08:00,16.8732,-88.2975,36.55,63.98,33.88,31.12,0.976
EST_001,08/01/2023 09:00,16.8732,-88.2975,31.58,46.63,70.05,30.2,1.056
EST_001,08/01/2023 10:00,16.8732,-88.2975,32.46,58.98,53.75,,1.267
EST_001,08/01/2023 11:00,16.8732,-88.2975,48.55,78.79,55.95,39.47,1.005
EST_001,08/01/2023 12:00,16.8732,-88.2975,49.26,82.66,27.8,39.26,1.186
EST_001,08/01/2023 13:00,16.8732,-88.2975,,74.11,,38.84,1.111
EST_001,08/01/2023 14:00,16.8732,-88.2975,37.4,71.76,31.46,34.74,0.903
EST_001,08/01/2023 15:00,16.8732,-88.2975,,76.08,25.69,34.64,1.089
EST_001,08/01/2023 16:00,16.8732,-88.2975,30.12,62.12,25.51,26.07,1.077
EST_001,08/01/2023 17:00,16.8732,-88.2975,28.78,61.06,31.53,19.14,
EST_001,08/01/2023 18:00,16.8732,-88.2975,33.88,72.48,2.35,,0.799
EST_001,08/01/2023 19:00,16.8732,-88.2975,26.11,51.23,30.42,27.55,0.55
EST_001,08/01/2023 20:00,16.8732,-88.2975,25.65,57.07,,30.05,0.524
EST_001,08/01/2023 21:00,16.8732,-88.2975,22.79,25.97,23.82,30.2,0.693
EST_001,08/01/2023 22:00,16.8732,-88.2975,,40.13,15.29,28.92,0.494
EST_001,08/01/2023 23:00,16.8732,-88.2975,28.06,43.57,39.85,15.28,0.399
EST_001,09/01/2023 00:00,16.8732,-88.2975,21.14,39.0,15.86,18.24,0.523
EST_001,09/01/2023 01:00,16.8732,-88.2975,24.25,39.08,51.66,22.67,0.458
EST_001,09/01/2023 02:00,16.8732,-88.2975,11.78,19.88,35.08,33.73,0.493
EST_001,09/01/2023 03:00,16.8732,-88.2975,23.38,57.15,54.68,29.74,0.662
EST_001,09/01/2023 04:00,16.8732,-88.2975,21.48,37.31,56.13,29.6,0.534
EST_001,09/01/2023 05:00,16.8732,-88.2975,22.02,42.95,71.01,23.99,0.632
EST_001,09/01/2023 06:00,16.8732,-88.2975,26.32,45.51,58.21,23.58,0.815
EST_001,09/01/2023 07:00,16.8732,-88.2975,31.63,57.54,52.38,,0.975
EST_001,09/01/2023 08:00,16.8732,-88.2975,40.29,72.58,52.25,,1.074
EST_001,09/01/2023 09:00,16.8732,-88.2975,31.16,59.67,66.87,32.46,0.946
EST_001,09/01/2023 10:00,16.8732,-88.2975,39.54,80.49,55.36,34.35,1.154
EST_001,09/01/2023 11:00,16.8732,-88.2975,37.96,81.51,41.32,43.69,1.011
EST_001,09/01/2023 12:00,16.8732,-88.2975,39.09,72.84,37.64,34.23,1.283
EST_001,09/01/2023 13:00,16.8732,-88.2975,45.41,86.45,19.15,23.53,0.976
EST_001,09/01/2023 14:00,16.8732,-88.2975,42.09,66.55,,37.45,1.193
EST_001,09/01/2023 15:00,16.8732,-88.2975,44.5,79.39,8.26,30.16,0.946
EST_001,09/01/2023 16:00,16.8732,-88.2975,34.97,70.47,30.2,32.21,1.151
EST_001,09/01/2023 17:00,16.8732,-88.2975,29.86,60.67,21.97,29.64,0.937
EST_001,09/01/2023 18:00,16.8732,-88.2975,29.63,55.03,43.87,26.63,0.698
EST_001,09/01/2023 19:00,16.8732,-88.2975,29.38,59.97,9.68,29.88,0.67
EST_001,09/01/2023 20:00,16.8732,-88.2975,26.64,51.88,21.65,16.34,0.728
EST_001,09/01/2023 21:00,16.8732,-88.2975,18.27,42.48,43.84,19.76,0.693
EST_001,09/01/2023 22:00,16.8732,-88.2975,22.56,42.92,41.91,24.49,0.533
EST_001,09/01/2023 23:00,16.8732,-88.2975,22.25,37.2,27.86,17.2,0.515
EST_001,10/01/2023 00:00,16.8732,-88.2975,33.36,62.73,42.24,11.96,0.576
EST_001,10/01/2023 01:00,16.8732,-88.2975,30.5,31.46,45.2,,0.523
EST_001,10/01/2023 02:00,16.8732,-88.2975,17.85,35.2,52.82,26.69,0.411
EST_001,10/01/2023 03:00,16.8732,-88.2975,22.27,10.91,47.16,22.12,0.507
EST_001,10/01/2023 04:00,16.8732,-88.2975,18.47,19.46,56.43,14.2,0.674
EST_001,10/01/2023 05:00,16.8732,-88.2975,25.25,49.06,43.34,29.46,0.844
EST_001,10/01/2023 06:00,16.8732,-88.2975,32.37,62.09,61.35,19.7,0.962
EST_001,10/01/2023 07:00,16.8732,-88.2975,39.41,61.65,63.82,31.61,0.956
EST_001,10/01/2023 08:00,16.8732,-88.2975,32.15,52.18,55.05,27.56,0.979
EST_001,10/01/2023 09:00,16.8732,-88.2975,34.6,73.25,37.99,27.86,1.087
EST_001,10/01/2023 10:00,16.8732,-88.2975,28.73,,59.89,,0.993
EST_001,10/01/2023 11:00,16.8732,-88.2975,39.66,89.32,48.82,34.81,1.074
EST_001,10/01/2023 12:00,16.8732,-88.2975,35.5,,32.74,32.78,1.018
EST_001,10/01/2023 13:00,16.8732,-88.2975,37.83,71.36,32.02,38.67,0.965
EST_001,10/01/2023 14:00,16.8732,-88.2975,35.1,76.11,14.99,32.7,1.093
EST_001,10/01/2023 15:00,16.8732,-88.2975,37.42,68.41,15.6,38.56,1.031
EST_001,10/01/2023 16:00,16.8732,-88.2975,27.04,40.65,17.3,33.41,1.019
EST_001,10/01/2023 17:00,16.8732,-88.2975,26.08,46.07,32.97,26.58,0.932
EST_001,10/01/2023 18:00,16.8732,-88.2975,41.48,74.38,13.6,23.67,0.824
EST_001,10/01/2023 19:00,16.8732,-88.2975,21.81,28.35,27.08,17.69,0.778
EST_001,10/01/2023 20:00,16.8732,-88.2975,20.36,34.6,17.3,25.45,0.646
EST_001,10/01/2023 21:00,16.8732,-88.2975,32.96,53.39,,20.57,0.629
EST_001,10/01/2023 22:00,16.8732,-88.2975,,73.48,28.59,9.21,0.468
EST_001,10/01/2023 23:00,16.8732,-88.2975,15.34,27.88,43.55,17.59,0.547
EST_001,11/01/2023 00:00,16.8732,-88.2975,19.02,31.97,34.65,15.49,0.567
EST_001,11/01/2023 01:00,16.8732,-88.2975,22.91,40.39,29.45,28.15,0.443
EST_001,11/01/2023 02:00,16.8732,-88.2975,30.85,57.31,36.18,12.56,0.545
EST_001,11/01/2023 03:00,16.8732,-88.2975,18.86,38.89,48.82,15.14,0.526
EST_001,11/01/2023 04:00,16.8732,-88.2975,24.64,36.36,44.83,29.55,0.597
EST_001,11/01/2023 05:00,16.8732,-88.2975,32.17,49.58,63.42,32.71,0.61
EST_001,11/01/2023 06:00,16.8732,-88.2975,33.05,68.33,55.34,24.28,0.927
EST_001,11/01/2023 07:00,16.8732,-88.2975,31.59,53.56,83.06,26.91,0.984
EST_001,11/01/2023 08:00,16.8732,-88.2975,35.22,52.05,39.94,35.08,
EST_001,11/01/2023 09:00,16.8732,-88.2975,31.08,59.5,56.18,22.02,1.209
EST_001,11/01/2023 10:00,16.8732,-88.2975,38.36,72.76,38.72,25.62,1.041
EST_001,11/01/2023 11:00,16.8732,-88.2975,39.22,58.36,40.24,34.32,
EST_001,11/01/2023 12:00,16.8732,-88.2975,42.06,77.54,41.41,43.75,1.077
EST_001,11/01/2023 13:00,16.8732,-88.2975,37.78,73.9,11.57,33.55,1.115
EST_001,11/01/2023 14:00,16.8732,-88.2975,41.92,78.46,32.37,35.43,1.02
EST_001,11/01/2023 15:00,16.8732,-88.2975,43.04,82.54,44.89,39.33,1.049
EST_001,11/01/2023 16:00,16.8732,-88.2975,36.69,54.81,18.15,42.53,1.034
EST_001,11/01/2023 17:00,16.8732,-88.2975,35.26,,23.28,27.19,0.866
EST_001,11/01/2023 18:00,16.8732,-88.2975,31.19,53.71,30.25,27.92,0.978
EST_001,11/01/2023 19:00,16.8732,-88.2975,28.34,47.14,19.04,35.04,0.746
EST_001,11/01/2023 20:00,16.8732,-88.2975,22.32,47.14,16.87,16.39,0.677
EST_001,11/01/2023 21:00,16.8732,-88.2975,25.44,57.63,3.1,27.48,0.497
EST_001,11/01/2023 22:00,16.8732,-88.2975,21.79,53.57,36.41,15.98,0.582
EST_001,11/01/2023 23:00,16.8732,-88.2975,31.74,67.66,33.69,20.78,0.497
EST_001,12/01/2023 00:00,16.8732,-88.2975,28.81,50.98,,,0.439
EST_001,12/01/2023 01:00,16.8732,-88.2975,23.21,44.61,46.44,15.48,0.433
EST_001,12/01/2023 02:00,16.8732,-88.2975,18.47,,44.16,16.16,0.807
EST_001,12/01/2023 03:00,16.8732,-88.2975,18.32,33.94,48.86,23.73,0.562
EST_001,12/01/2023 04:00,16.8732,-88.2975,31.91,58.49,63.38,28.98,0.504
EST_001,12/01/2023 05:00,16.8732,-88.2975,29.68,60.02,45.93,25.28,0.653
EST_001,12/01/2023 06:00,16.8732,-88.2975,33.36,59.58,70.47,28.35,0.795
EST_001,12/01/2023 07:00,16.8732,-88.2975,24.83,38.86,45.34,32.93,0.932
EST_001,12/01/2023 08:00,16.8732,-88.2975,40.61,69.78,50.69,,1.005
EST_001,12/01/2023 09:00,16.8732,-88.2975,40.32,77.64,73.37,37.36,1.08
EST_001,12/01/2023 10:00,16.8732,-88.2975,34.08,61.38,61.27,39.02,0.995
EST_001,12/01/2023 11:00,16.8732,-88.2975,38.28,71.63,46.15,48.75,1.124
EST_001,12/01/2023 12:00,16.8732,-88.2975,42.3,81.5,30.59,34.12,1.012
EST_001,12/01/2023 13:00,16.8732,-88.2975,40.91,70.64,29.53,33.44,1.028
EST_001,12/01/2023 14:00,16.8732,-88.2975,38.19,74.79,30.73,38.77,0.968
EST_001,12/01/2023 15:00,16.8732,-88.2975,37.55,70.62,26.23,37.75,0.893
EST_001,12/01/2023 16:00,16.8732,-88.2975,34.74,52.65,21.77,29.32,1.056
EST_001,12/01/2023 17:00,16.8732,-88.2975,34.35,73.37,,28.05,0.947
EST_001,12/01/2023 18:00,16.8732,-88.2975,38.36,65.05,17.86,30.71,0.898
EST_001,12/01/2023 19:00,16.8732,-88.2975,15.59,14.81,6.26,21.79,0.726
EST_001,12/01/2023 20:00,16.8732,-88.2975,24.83,36.33,17.51,21.95,0.728
EST_001,12/01/2023 21:00,16.8732,-88.2975,24.83,36.52,35.0,22.79,0.412
EST_001,12/01/2023 22:00,16.8732,-88.2975,23.84,43.33,16.32,26.05,0.627
EST_001,12/01/2023 23:00,16.8732,-88.2975,19.5,32.91,32.93,17.25,0.528
EST_001,13/01/2023 00:00,16.8732,-88.2975,12.24,19.34,,10.79,0.563
EST_001,13/01/2023 01:00,16.8732,-88.2975,23.01,46.38,46.29,10.69,0.548
EST_001,13/01/2023 02:00,16.8732,-88.2975,31.01,58.54,46.11,14.77,0.441
EST_001,13/01/2023 03:00,16.8732,-88.2975,16.3,31.86,68.92,15.78,0.438
EST_001,13/01/2023 04:00,16.8732,-88.2975,30.36,57.92,62.39,23.23,
EST_001,13/01/2023 05:00,16.8732,-88.2975,26.81,53.19,46.2,19.99,0.779
EST_001,13/01/2023 06:00,16.8732,-88.2975,30.74,38.47,66.71,24.49,0.869
EST_001,13/01/2023 07:00,16.8732,-88.2975,28.37,48.16,51.57,26.2,0.741
EST_001,13/01/2023 08:00,16.8732,-88.2975,34.38,44.44,51.55,29.8,0.852
EST_001,13/01/2023 09:00,16.8732,-88.2975,44.63,80.62,57.28,40.27,0.94
EST_001,13/01/2023 10:00,16.8732,-88.2975,42.63,76.7,45.08,38.24,1.024
EST_001,13/01/2023 11:00,16.8732,-88.2975,49.38,97.26,54.1,35.81,0.954
EST_001,13/01/2023 12:00,16.8732,-88.2975,,94.02,32.25,33.69,0.958
